"LANCO","Born To Love You",Country
"Brothers Osborne","Shoot Me Straight",Country
"Chris Young","Hangin' On",Country
"Carly Pearce","Hide The Wine",Country
"Kelsea Ballerini","I Hate Love Songs",Country
"Keith Urban","Parallel Line",Country
"RaeLynn","Queens Don't",Country
"Runaway June","Wild West",Country
"Kane Brown","What's Mine Is Yours",Country
"Sir Rosevelt","Something 'Bout You",Country
"Portugal The Man","Live In The Moment",Alternative
"Imagine Dragons","Whatever It Takes",Alternative
"lovelytheband","Broken",Alternative
"Foster The People","Sit Next To Me",Alternative
"Muse","Thought Contagion",Alternative
"The Killers","Run For Cover",Alternative
"AJR Featuring Rivers Cuomo","Sober Up",Alternative
"WALK THE MOON","One Foot",Alternative
"Moon Taxi","Two High",Alternative
"AWOLNATION","Handyman",Alternative
"Thirty Seconds To Mars","Dangerous Night",Alternative
"Alice Merton","No Roots",Alternative
"Vance Joy","Saturday Sun",Alternative
"Sir Sly","&Run",Alternative
"Manchester Orchestra","The Gold",Alternative
"CHVRCHES","Get Out",Alternative
"Dirty Heads Featuring The Unlikely Candidates","Celebrate",Alternative
"Rise Against","House On Fire",Alternative
"Nathaniel Rateliff & The Night Sweats","You Worry Me",Alternative
"Robert DeLong + KFlay","Favorite Color Is Blue",Alternative
"Panic! At The Disco","Say Amen (Saturday Night)",Alternative
"Joywave","Doubt",Alternative
"Two Feet","I Feel Like I'm Drowning",Alternative
"Judah & The Lion","Going To Mars",Alternative
"Jack White","Over And Over And Over",Alternative
"Blue October","I Hope You're Happy",Alternative
"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno","Best Friend",Alternative
"Pearl Jam","Can't Deny Me",Alternative
"Nothing But Thieves","Sorry",Alternative
"Superorganism","Everybody Wants To Be Famous",Alternative
"Bishop Briggs","White Flag",Alternative
"Yungblud","I Love You, Will You Marry Me",Alternative
"Jukebox The Ghost","Everybody's Lonely",Alternative
"St Vincent","Los Ageless",Alternative
"James Bay","Pink Lemonade",Alternative
"Cold War Kids","Can We Hang On",Alternative
"Mt Joy","Silver Lining",Alternative
"SYML","Where's My Love",Alternative
