You Make It Easy,Jason Aldean,Country,60,38,21,1,1,0,0,0,0,0,0
Wild Love,James Bay,Rock,18,16,2,1,0,0,0,0,0,0,0
Queens Don't,RaeLynn,Country,80,53,24,4,0,0,0,0,0,0,0
Delicate,Taylor Swift,Pop,92,67,21,4,1,0,0,0,0,0,0
Plain Jane,A$AP Ferg Featuring Nicki Minaj,Hip Hop,183,103,65,11,5,0,0,0,0,0,0
Believer,Imagine Dragons,Rock,104,68,30,6,1,0,0,0,0,0,0
Sit Next To Me,Foster The People,Alternative,84,51,29,3,2,0,0,0,0,0,0
Tequila,Dan + Shay,Country,94,37,43,15,0,0,0,0,0,0,0
Love,Kendrick Lamar Featuring Zacari,Pop,192,118,61,10,2,2,0,0,0,0,0
Never Be The Same,Camila Cabello,Pop,76,47,27,1,2,0,0,0,0,0,0
Boom!,Lil Yachty Featuring Ugly God,Hip Hop,27,22,5,1,0,0,0,0,0,0,0
Get You,Daniel Caesar Featuring Kali Uchis,Hip Hop,74,47,17,9,1,1,0,0,0,0,0
Wait,Maroon 5,Pop,118,60,42,15,2,0,0,0,0,0,0
Over And Over And Over,Jack White,Alternative,72,43,28,2,0,0,0,0,0,0,0
Make Me Feel,Janelle Monae,Pop,68,42,18,6,3,0,0,0,0,0,0
44 More,Logic,Hip Hop,242,150,65,21,6,1,0,0,0,0,0
Gummo,6ix9ine,Hip Hop,132,84,44,5,0,0,0,0,0,0,0
Unstoppable,The Score,Rock,156,97,44,12,4,0,0,0,0,0,0
Rearview Town,Jason Aldean,Country,69,46,18,4,2,0,0,0,0,0,0
Beautiful Trauma,P!nk,Pop,87,58,25,4,1,0,0,0,0,0,0
Singles You Up,Jordan Davis,Country,74,52,22,1,0,0,0,0,0,0,0
Stir Fry,Migos,Hip Hop,215,150,53,8,4,1,0,0,0,0,0
Everybody's Lonely,Jukebox The Ghost,Alternative,40,18,18,5,0,0,0,0,0,0,0
Trust Fund Baby,Why Don't We,Pop,126,77,43,4,1,1,0,0,0,1,0
Next To Me,Imagine Dragons,Rock,71,42,23,4,3,0,0,0,0,0,0
Moonlight,XXXTentacion,Hip Hop,46,30,17,0,0,0,0,0,0,0,0
Rubbin Off The Paint,YBN Nahmir,Hip Hop,182,104,69,9,1,0,0,0,0,0,0
Two High,Moon Taxi,Alternative,42,27,13,3,0,0,0,0,0,0,0
66,Lil Yachty Featuring Trippie Redd,Hip Hop,289,156,104,20,6,1,1,2,0,0,0
$$$,XXXtentacion & Matt Ox,Hip Hop,95,63,30,3,0,0,0,0,0,0,0
&Run,Sir Sly,Alternative,193,137,51,3,3,0,0,0,0,0,0
Wassup,Logic Featuring Big Sean,Hip Hop,105,59,37,6,4,0,0,0,0,0,0
Havana,Camila Cabello Featuring Young Thug,Pop,127,83,33,6,1,2,0,1,1,1,0
Severed,The Decemberists,Rock,52,33,16,3,0,1,0,0,0,0,0
I Like Me Better,Lauv,Pop,62,49,14,0,0,0,0,0,0,0,0
BoomTrap Protocol,Logic,Hip Hop,135,83,43,8,2,0,0,0,0,0,0
Break Up In The End,Cole Swindell,Country,65,53,11,1,1,0,0,0,0,0,0
Say Amen (Saturday Night),Panic! At The Disco,Alternative,64,40,19,6,0,0,0,0,0,0,0
Up Down,Morgan Wallen Featuring Florida Georgia Line,Country,157,104,48,4,2,0,0,0,0,0,0
MotorSport,Migos,Nicki Minaj & Cardi B,385,239,123,18,5,0,1,0,0,0,0
Red Cold River,Breaking Benjamin,Rock,34,27,7,1,0,0,0,0,0,0,0
The Gold,Manchester Orchestra,Alternative,59,37,18,5,0,0,0,0,0,0,0
Friends,Marshmello & Anne-Marie,Pop,192,105,72,13,3,0,0,0,0,0,0
Pick It Up,Famous Dex Featuring A$AP Rocky,Hip Hop,268,172,85,8,2,1,1,0,0,0,0
Celebrate,Dirty Heads Featuring The Unlikely Candidates,Alternative,120,71,33,13,4,0,0,0,0,0,0
At The Club,Jacquees X Dej Loaf,Hip Hop,91,59,27,6,0,0,0,0,0,0,0
Changes,XXXTentacion,Hip Hop,220,133,78,5,4,0,0,0,0,0,1
Heart Break,Lady Antebellum,Country,62,45,15,2,1,0,0,0,0,0,0
Bartier Cardi,Cardi B Featuring 21 Savage,Hip Hop,186,125,54,5,3,0,0,0,0,0,0
Connected By Love,Jack White,Alternative,55,40,9,7,0,0,0,0,0,0,0
Hope,XXXTentacion,Hip Hop,63,44,18,0,2,0,0,0,0,0,0
